ts,student_id,course_id,room_id,present,weather_context
2026-02-16 15:00:00+00:00,S01039,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00457,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01128,C011,B03,0,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00776,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00826,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00482,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00162,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00941,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00910,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01174,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00918,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00181,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01021,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00916,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00648,C011,B03,0,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00244,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01019,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00037,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00211,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00827,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00845,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00074,C011,B03,0,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01142,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01125,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00001,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00187,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00624,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01042,C011,B03,0,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01152,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00424,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00935,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00699,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00745,C011,B03,0,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00112,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00931,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00680,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S01148,C011,B03,0,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00969,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00927,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00234,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00200,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00455,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 15:00:00+00:00,S00005,C011,B03,1,"38.3C, 0.0mm rain"
2026-02-16 16:00:00+00:00,S00509,C011,B08,1,"36.5C, 0.0mm rain"
2026-02-16 16:00:00+00:00,S00561,C011,B08,1,"36.5C, 0.0mm rain"
