ts,temperature,humidity,rain,event_type,building_id,lights_and_sockets_energy,ac_cooling_energy,total_energy_usage,peak_power_drain
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B01,108.6,260.9,369.5,443.4
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B03,114.1,261.7,375.79999999999995,451.0
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B04,73.7,260.1,333.8,400.6
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B05,149.1,264.7,413.79999999999995,496.6
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B07,130.1,260.9,391.0,469.2
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B08,90.4,256.3,346.70000000000005,416.0
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B06,127.5,261.0,388.5,466.2
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,B02,112.0,253.5,365.5,438.6
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B05,109.0,300.0,409.0,490.8
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B07,96.9,300.0,396.9,476.3
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B06,108.1,300.0,408.1,489.7
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B08,115.1,300.0,415.1,498.1
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B04,79.9,300.0,379.9,455.9
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B02,112.0,300.0,412.0,494.4
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B01,112.1,300.0,412.1,494.5
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,B03,116.1,300.0,416.1,499.3
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B06,122.1,300.0,422.1,506.5
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B05,78.1,300.0,378.1,453.7
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B02,120.4,300.0,420.4,504.5
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B04,99.8,300.0,399.8,479.8
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B07,94.9,300.0,394.9,473.9
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B01,92.7,300.0,392.7,471.2
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B03,110.6,300.0,410.6,492.7
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,B08,125.4,300.0,425.4,510.5
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B07,93.4,293.4,386.79999999999995,464.2
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B02,134.2,280.9,415.09999999999997,498.1
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B04,126.5,294.8,421.3,505.6
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B01,109.3,295.5,404.8,485.8
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B03,95.4,297.1,392.5,471.0
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B05,94.7,300.0,394.7,473.6
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B06,88.9,287.3,376.20000000000005,451.4
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,B08,93.5,284.9,378.4,454.1
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B03,122.2,300.0,422.2,506.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B04,125.4,300.0,425.4,510.5
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B02,106.2,294.1,400.3,480.4
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B05,83.1,300.0,383.1,459.7
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B06,89.6,300.0,389.6,467.5
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B07,86.3,299.2,385.5,462.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B01,99.8,297.7,397.5,477.0
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,B08,119.5,297.4,416.9,500.3
