ts,temperature,humidity,rain,event_type,bus_id,route,passenger_count,delay_minutes
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,Bus_01,Main_Gate_to_LHC,67,5.7
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,Bus_03,Hostel_Area_to_Library,58,5.2
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,Bus_02,Hostel_Area_to_MAC,59,4.9
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,Bus_02,Hostel_Area_to_MAC,60,7.4
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,Bus_03,Hostel_Area_to_Library,63,5.5
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,Bus_01,Main_Gate_to_LHC,66,6.2
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,Bus_03,Hostel_Area_to_Library,39,3.2
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,Bus_01,Main_Gate_to_LHC,31,2.8
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,Bus_02,Hostel_Area_to_MAC,36,3.5
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,Bus_03,Hostel_Area_to_Library,32,2.4
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,Bus_02,Hostel_Area_to_MAC,40,3.0
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,Bus_01,Main_Gate_to_LHC,34,3.5
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,Bus_01,Main_Gate_to_LHC,35,2.7
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,Bus_03,Hostel_Area_to_Library,34,2.2
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,Bus_02,Hostel_Area_to_MAC,34,3.6
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,Bus_01,Main_Gate_to_LHC,57,4.7
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,Bus_03,Hostel_Area_to_Library,50,5.3
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,Bus_02,Hostel_Area_to_MAC,51,6.1
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,Bus_01,Main_Gate_to_LHC,69,5.6
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,Bus_03,Hostel_Area_to_Library,64,6.6
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,Bus_02,Hostel_Area_to_MAC,68,6.1
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,Bus_03,Hostel_Area_to_Library,70,7.0
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,Bus_02,Hostel_Area_to_MAC,70,7.8
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,Bus_03,Hostel_Area_to_Library,62,5.7
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,Bus_02,Hostel_Area_to_MAC,67,7.1
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,Bus_01,Main_Gate_to_LHC,69,6.5
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,Bus_01,Main_Gate_to_LHC,65,9.4
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,Bus_03,Hostel_Area_to_Library,70,8.8
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,Bus_02,Hostel_Area_to_MAC,64,7.2
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,Bus_02,Hostel_Area_to_MAC,31,2.4
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,Bus_01,Main_Gate_to_LHC,31,3.9
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,Bus_03,Hostel_Area_to_Library,31,2.6
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,Bus_02,Hostel_Area_to_MAC,25,1.1
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,Bus_01,Main_Gate_to_LHC,23,3.7
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,Bus_03,Hostel_Area_to_Library,29,3.9
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,Bus_02,Hostel_Area_to_MAC,13,4.8
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,Bus_01,Main_Gate_to_LHC,27,4.9
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,Bus_03,Hostel_Area_to_Library,18,4.5
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,Bus_02,Hostel_Area_to_MAC,13,1.9
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,Bus_03,Hostel_Area_to_Library,13,0.6
