ts,temperature,humidity,rain,event_type,mess_id,entries,estimated_wait_min,meal_type,menu_served,student_rating
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,M01,0,0.0,None,Closed,
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,M02,0,0.0,None,Closed,
2026-02-15 10:00:00+00:00,35.4,36.3,0.0,normal,M03,0,0.0,None,Closed,
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,M03,0,0.0,None,Closed,
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,M01,0,0.0,None,Closed,
2026-02-15 11:00:00+00:00,36.5,62.7,0.8,normal,M02,0,0.0,None,Closed,
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,M03,180,2.5,Lunch,Nutrition Diet,4.6
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,M02,286,21.8,Lunch,Nutrition Diet,3.4
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,M01,194,7.6,Lunch,Nutrition Diet,4.3
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,M03,241,7.0,Lunch,North Indian,4.2
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,M02,255,15.8,Lunch,North Indian,3.9
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,M01,268,10.5,Lunch,Nutrition Diet,4.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,M01,272,13.4,Lunch,Nutrition Diet,3.9
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,M02,154,7.0,Lunch,Nutrition Diet,4.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,M03,265,9.4,Lunch,South Indian,4.3
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,M02,0,0.0,None,Closed,
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,M01,0,0.0,None,Closed,
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,M03,0,0.0,None,Closed,
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,M02,0,0.0,None,Closed,
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,M03,0,0.0,None,Closed,
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,M01,0,0.0,None,Closed,
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,M02,0,0.0,None,Closed,
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,M03,0,0.0,None,Closed,
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,M01,0,0.0,None,Closed,
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,M02,0,0.0,None,Closed,
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,M03,0,0.0,None,Closed,
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,M01,0,0.0,None,Closed,
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,M01,226,9.4,Dinner,North Indian,4.1
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,M03,298,11.5,Dinner,South Indian,3.7
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,M02,364,33.9,Dinner,South Indian,2.4
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,M03,398,18.6,Dinner,North Indian,3.4
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,M01,196,5.6,Dinner,Nutrition Diet,4.1
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,M02,317,25.0,Dinner,South Indian,3.0
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,M02,184,7.3,Dinner,Nutrition Diet,4.2
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,M03,203,6.1,Dinner,North Indian,4.5
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,M01,378,24.2,Dinner,South Indian,3.5
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,M02,0,0.0,None,Closed,
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,M03,0,0.0,None,Closed,
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,M02,0,0.0,None,Closed,
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,M03,0,0.0,None,Closed,
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,M01,0,0.0,None,Closed,
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,M02,0,0.0,None,Closed,
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,M01,0,0.0,None,Closed,
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,M03,0,0.0,None,Closed,
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,M01,0,0.0,None,Closed,
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,M02,0,0.0,None,Closed,
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,M03,0,0.0,None,Closed,
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,M02,0,0.0,None,Closed,
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,M03,0,0.0,None,Closed,
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,M01,0,0.0,None,Closed,
