ts,entity_type,entity_id,metric,value,score,is_anomaly,reason
2026-02-15T10:00:00Z,building,B01,total_energy_usage,369.5,0.0,0,normal
2026-02-15T11:00:00Z,building,B01,total_energy_usage,412.1,0.0,0,normal
2026-02-15T12:00:00Z,building,B01,total_energy_usage,392.7,0.0,0,normal
2026-02-15T13:00:00Z,building,B01,total_energy_usage,404.8,0.0,0,normal
2026-02-15T14:00:00Z,building,B01,total_energy_usage,397.5,0.0,0,normal
2026-02-15T15:00:00Z,building,B01,total_energy_usage,286.2,0.0,0,normal
2026-02-15T16:00:00Z,building,B01,total_energy_usage,389.5,0.0,0,normal
2026-02-15T17:00:00Z,building,B01,total_energy_usage,321.9,0.0,0,normal
2026-02-15T18:00:00Z,building,B01,total_energy_usage,238.6,0.0,0,normal
2026-02-15T19:00:00Z,building,B01,total_energy_usage,164.6,0.0,0,normal
2026-02-15T20:00:00Z,building,B01,total_energy_usage,146.7,0.0,0,normal
2026-02-15T21:00:00Z,building,B01,total_energy_usage,100.3,0.0,0,normal
2026-02-15T22:00:00Z,building,B01,total_energy_usage,54.9,0.0,0,normal
2026-02-15T23:00:00Z,building,B01,total_energy_usage,81.9,0.0,0,normal
2026-02-16T00:00:00Z,building,B01,total_energy_usage,181.6,0.0,0,normal
2026-02-16T01:00:00Z,building,B01,total_energy_usage,178.79999999999998,0.0,0,normal
2026-02-16T02:00:00Z,building,B01,total_energy_usage,162.8,0.0,0,normal
2026-02-16T03:00:00Z,building,B01,total_energy_usage,267.4,0.0,0,normal
2026-02-16T04:00:00Z,building,B01,total_energy_usage,164.8,0.0,0,normal
2026-02-16T05:00:00Z,building,B01,total_energy_usage,180.7,0.0,0,normal
2026-02-16T06:00:00Z,building,B01,total_energy_usage,228.1,0.0,0,normal
2026-02-16T07:00:00Z,building,B01,total_energy_usage,326.3,0.0,0,normal
2026-02-16T08:00:00Z,building,B01,total_energy_usage,404.0,0.0,0,normal
2026-02-16T09:00:00Z,building,B01,total_energy_usage,472.6,0.0,0,normal
2026-02-16T10:00:00Z,building,B01,total_energy_usage,637.8,0.0,0,normal
2026-02-16T11:00:00Z,building,B01,total_energy_usage,570.8,0.0,0,normal
2026-02-16T12:00:00Z,building,B01,total_energy_usage,635.9,0.0,0,normal
2026-02-16T13:00:00Z,building,B01,total_energy_usage,652.1,0.0,0,normal
2026-02-16T14:00:00Z,building,B01,total_energy_usage,634.8,0.0,0,normal
2026-02-16T15:00:00Z,building,B01,total_energy_usage,672.1,0.0,0,normal
2026-02-16T16:00:00Z,building,B01,total_energy_usage,653.8,0.0,0,normal
2026-02-16T17:00:00Z,building,B01,total_energy_usage,581.3,0.0,0,normal
2026-02-16T18:00:00Z,building,B01,total_energy_usage,491.7,0.0,0,normal
2026-02-16T19:00:00Z,building,B01,total_energy_usage,366.0,0.0,0,normal
2026-02-16T20:00:00Z,building,B01,total_energy_usage,191.3,0.0,0,normal
2026-02-16T21:00:00Z,building,B01,total_energy_usage,253.7,0.0,0,normal
2026-02-16T22:00:00Z,building,B01,total_energy_usage,235.5,0.0,0,normal
2026-02-16T23:00:00Z,building,B01,total_energy_usage,174.4,0.0,0,normal
2026-02-17T00:00:00Z,building,B01,total_energy_usage,228.4,0.0,0,normal
2026-02-17T01:00:00Z,building,B01,total_energy_usage,155.5,0.0,0,normal
2026-02-17T02:00:00Z,building,B01,total_energy_usage,194.2,0.0,0,normal
2026-02-17T03:00:00Z,building,B01,total_energy_usage,149.3,0.0,0,normal
2026-02-17T04:00:00Z,building,B01,total_energy_usage,178.7,0.0,0,normal
2026-02-17T05:00:00Z,building,B01,total_energy_usage,179.0,0.0,0,normal
2026-02-17T06:00:00Z,building,B01,total_energy_usage,247.1,0.0,0,normal
2026-02-17T07:00:00Z,building,B01,total_energy_usage,310.6,0.0,0,normal
2026-02-17T08:00:00Z,building,B01,total_energy_usage,420.4,0.0,0,normal
2026-02-17T09:00:00Z,building,B01,total_energy_usage,415.7,0.0,0,normal
2026-02-17T10:00:00Z,building,B01,total_energy_usage,552.3,0.0,0,normal
2026-02-17T11:00:00Z,building,B01,total_energy_usage,631.8,0.0,0,normal
2026-02-17T12:00:00Z,building,B01,total_energy_usage,642.4,0.0,0,normal
2026-02-17T13:00:00Z,building,B01,total_energy_usage,658.2,0.0,0,normal
2026-02-17T14:00:00Z,building,B01,total_energy_usage,566.2,0.0,0,normal
2026-02-17T15:00:00Z,building,B01,total_energy_usage,667.7,0.0,0,normal
2026-02-17T16:00:00Z,building,B01,total_energy_usage,638.1,0.0,0,normal
2026-02-17T17:00:00Z,building,B01,total_energy_usage,559.0999999999999,0.0,0,normal
2026-02-17T18:00:00Z,building,B01,total_energy_usage,517.7,0.0,0,normal
2026-02-17T19:00:00Z,building,B01,total_energy_usage,423.4,0.0,0,normal
2026-02-17T20:00:00Z,building,B01,total_energy_usage,405.4,0.0,0,normal
2026-02-17T21:00:00Z,building,B01,total_energy_usage,274.8,0.0,0,normal
2026-02-17T22:00:00Z,building,B01,total_energy_usage,188.1,0.0,0,normal
2026-02-17T23:00:00Z,building,B01,total_energy_usage,204.5,0.0,0,normal
2026-02-18T00:00:00Z,building,B01,total_energy_usage,151.10000000000002,0.0,0,normal
2026-02-18T01:00:00Z,building,B01,total_energy_usage,141.89999999999998,0.0,0,normal
2026-02-18T02:00:00Z,building,B01,total_energy_usage,165.3,0.0,0,normal
2026-02-18T03:00:00Z,building,B01,total_energy_usage,154.9,0.0,0,normal
2026-02-18T04:00:00Z,building,B01,total_energy_usage,206.6,0.0,0,normal
2026-02-18T05:00:00Z,building,B01,total_energy_usage,200.1,0.0,0,normal
2026-02-18T06:00:00Z,building,B01,total_energy_usage,228.5,0.0,0,normal
2026-02-18T07:00:00Z,building,B01,total_energy_usage,331.79999999999995,0.0,0,normal
2026-02-18T08:00:00Z,building,B01,total_energy_usage,352.0,0.0,0,normal
2026-02-18T09:00:00Z,building,B01,total_energy_usage,524.2,0.0,0,normal
2026-02-18T10:00:00Z,building,B01,total_energy_usage,607.1,0.0,0,normal
2026-02-18T11:00:00Z,building,B01,total_energy_usage,584.9,0.0,0,normal
2026-02-18T12:00:00Z,building,B01,total_energy_usage,651.5,0.0,0,normal
2026-02-18T13:00:00Z,building,B01,total_energy_usage,667.0,0.0,0,normal
2026-02-18T14:00:00Z,building,B01,total_energy_usage,650.5,0.0,0,normal
2026-02-18T15:00:00Z,building,B01,total_energy_usage,663.7,0.0,0,normal
2026-02-18T17:00:00Z,building,B01,total_energy_usage,580.5,0.0,0,normal
2026-02-18T18:00:00Z,building,B01,total_energy_usage,530.7,0.0,0,normal
2026-02-18T19:00:00Z,building,B01,total_energy_usage,368.5,0.0,0,normal
2026-02-18T20:00:00Z,building,B01,total_energy_usage,272.2,0.0,0,normal
2026-02-18T21:00:00Z,building,B01,total_energy_usage,259.9,-0.39076238402264524,0,normal
2026-02-18T22:00:00Z,building,B01,total_energy_usage,243.4,-0.4242544699872286,0,normal
2026-02-18T23:00:00Z,building,B01,total_energy_usage,198.2,-0.5821266149870801,0,normal
2026-02-19T00:00:00Z,building,B01,total_energy_usage,177.7,-0.6672259803921567,0,normal
2026-02-19T01:00:00Z,building,B01,total_energy_usage,205.8,-0.5334903183459139,0,normal
2026-02-19T02:00:00Z,building,B01,total_energy_usage,165.4,-0.699628431372549,0,normal
2026-02-19T03:00:00Z,building,B01,total_energy_usage,185.3,-0.6047699376435836,0,normal
2026-02-19T04:00:00Z,building,B01,total_energy_usage,203.4,-0.5017621951219511,0,normal
2026-02-19T05:00:00Z,building,B01,total_energy_usage,210.7,-0.4446959247648904,0,normal
2026-02-19T06:00:00Z,building,B01,total_energy_usage,241.6,-0.2531324743970928,0,normal
2026-02-19T07:00:00Z,building,B01,total_energy_usage,324.6,0.06445733788395905,0,normal
2026-02-19T08:00:00Z,building,B01,total_energy_usage,409.1,0.4421272502647372,0,normal
2026-02-19T09:00:00Z,building,B01,total_energy_usage,460.1,0.6645225450008914,0,normal
2026-02-19T10:00:00Z,building,B01,total_energy_usage,608.6,1.3587615601835514,0,normal
2026-02-19T11:00:00Z,building,B01,total_energy_usage,642.2,1.4622607508532426,0,normal
